ハチが花にとまった。それが花粉を持っていたからだ。	ハチが花にとまった。花が花粉を持っていたからだ。	ハチが花にとまった。ハチが花粉を持っていたからだ。
クラウディアはお金を全てバレリーに取られた。彼女はバカだからだ。	クラウディアはお金を全てバレリーに取られた。クラウディアはバカだからだ。	クラウディアはお金を全てバレリーに取られた。バレリーはバカだからだ。
マイクはジャックが宿題をやるのを助けた。彼がそうしたかったのだ。	マイクはジャックが宿題をやるのを助けた。マイクがそうしたかったのだ。	マイクはジャックが宿題をやるのを助けた。ジャックがそうしたかったのだ。
マイクはジャックが宿題をやるのを助けた。彼が丁寧に頼んだからだ。	マイクはジャックが宿題をやるのを助けた。ジャックが丁寧に頼んだからだ。	マイクはジャックが宿題をやるのを助けた。マイクが丁寧に頼んだからだ。
父さんはサムを怒鳴りつけた。彼が学校に行かなかったからだ。	父さんはサムを怒鳴りつけた。サムが学校に行かなかったからだ。	父さんはサムを怒鳴りつけた。父さんが学校に行かなかったからだ。
父さんはサムを怒鳴りつけた。彼は怒っていたのだ。	父さんはサムを怒鳴りつけた。父さんは怒っていたのだ。	父さんはサムを怒鳴りつけた。サムは怒っていたのだ。
ジャニスはケンダに車を買ってやった。彼女が一台必要だったからだ。	ジャニスはケンダに車を買ってやった。ケンダが一台必要だったからだ。	ジャニスはケンダに車を買ってやった。ジャニスが一台必要だったからだ。
ジャニスはケンダに車を買ってやった。彼女には使ってよいお金があったからだ。	ジャニスはケンダに車を買ってやった。ジャニスには使ってよいお金があったからだ。	ジャニスはケンダに車を買ってやった。ケンダには使ってよいお金があったからだ。
ネズミは猫から逃げてずっと台所まで走った。それは怯えていたからだ。	ネズミは猫から逃げてずっと台所まで走った。ネズミは怯えていたからだ。	ネズミは猫から逃げてずっと台所まで走った。猫は怯えていたからだ。
ネズミは猫から逃げてずっと台所まで走った。それが追いかけてきたからだ。	ネズミは猫から逃げてずっと台所まで走った。猫が追いかけてきたからだ。	ネズミは猫から逃げてずっと台所まで走った。ネズミが追いかけてきたからだ。
ジョンはビルを選んだ。彼は人材を必要としていたからだ。	ジョンはビルを選んだ。ジョンは人材を必要としていたからだ。	ジョンはビルを選んだ。ビルは人材を必要としていたからだ。
ジョンはビルを選んだ。彼には才能があったからだ。	ジョンはビルを選んだ。ビルには才能があったからだ。	ジョンはビルを選んだ。ジョンには才能があったからだ。
ジョンはビルを飽きさせた。彼は退屈な人間だからだ。	ジョンはビルを飽きさせた。ジョンは退屈な人間だからだ。	ジョンはビルを飽きさせた。ビルは退屈な人間だからだ。
ジョンはビルを飽きさせた。彼は直ぐに飽きるからだ。	ジョンはビルを飽きさせた。ビルは直ぐに飽きるからだ。	ジョンはビルを飽きさせた。ジョンは直ぐに飽きるからだ。
ジョンはビルに感謝した。彼は困窮していたからだ。	ジョンはビルに感謝した。ジョンは困窮していたからだ。	ジョンはビルに感謝した。ビルは困窮していたからだ。
ジョンはビルに感謝した。彼のおかげで助かったからだ。	ジョンはビルに感謝した。ビルのおかげで助かったからだ。	ジョンはビルに感謝した。ジョンのおかげで助かったからだ。
ジョンはビルをだました。彼はいたずら好きだったのだ。	ジョンはビルをだました。ジョンはいたずら好きだったのだ。	ジョンはビルをだました。ビルはいたずら好きだったのだ。
ジョンはビルをだました。彼は頭の回転が遅かったからだ。	ジョンはビルをだました。ビルは頭の回転が遅かったからだ。	ジョンはビルをだました。ジョンは頭の回転が遅かったからだ。
ジョンはビルから盗んだ。彼は金が必要だったのだ。	ジョンはビルから盗んだ。ジョンは金が必要だったのだ。	ジョンはビルから盗んだ。ビルは金が必要だったのだ。
ジョンはビルから盗んだ。彼は騙されやすかったのだ。	ジョンはビルから盗んだ。ビルは騙されやすかったのだ。	ジョンはビルから盗んだ。ジョンは騙されやすかったのだ。
ジョンはビルに大金を渡した。彼は余分に持っていたからだ。	ジョンはビルに大金を渡した。ジョンは余分に持っていたからだ。	ジョンはビルに大金を渡した。ビルは余分に持っていたからだ。
ジョンはビルに大金を渡した。彼は借金する必要があったからだ。	ジョンはビルに大金を渡した。ビルは借金する必要があったからだ。	ジョンはビルに大金を渡した。ジョンは借金する必要があったからだ。
ジョンはビルを蹴った。彼は怒っていたのだ。	ジョンはビルを蹴った。ジョンは怒っていたのだ。	ジョンはビルを蹴った。ビルは怒っていたのだ。
ジョンはビルを蹴った。彼が意地悪だったからだ。	ジョンはビルを蹴った。ビルが意地悪だったからだ。	ジョンはビルを蹴った。ジョンが意地悪だったからだ。
ジョンはビルを思い出した。彼は籐椅子のことを考えていたからだ。	ジョンはビルを思い出した。ジョンは籐椅子のことを考えていたからだ。	ジョンはビルを思い出した。ビルは籐椅子のことを考えていたからだ。
ジョンはビルを思い出した。彼は印象的だったからだ。	ジョンはビルを思い出した。ビルは印象的だったからだ。	ジョンはビルを思い出した。ジョンは印象的だったからだ。
カップルは火曜日に車を店に持って行った。しかし彼らは翌週まで代金請求をしない。	カップルは火曜日に車を店に持って行った。しかし店は翌週まで代金請求をしない。	カップルは火曜日に車を店に持って行った。しかしカップルは翌週まで代金請求をしない。
カップルは火曜日に車を店に持って行った。しかし彼らは翌週まで払わなくて良い。	カップルは火曜日に車を店に持って行った。しかしカップルは翌週まで払わなくて良い。	カップルは火曜日に車を店に持って行った。しかし店は翌週まで払わなくて良い。
チャック・ノリスは喧嘩のとき、どんな男でもやっつけられる。彼が無敵でない限り。	チャック・ノリスは喧嘩のとき、どんな男でもやっつけられる。どんな男が無敵でない限り。	チャック・ノリスは喧嘩のとき、どんな男でもやっつけられる。チャック・ノリスが無敵でない限り。
チャック・ノリスは喧嘩のとき、どんな男でもやっつけられる。彼が縛られ目隠しされていない限り。	チャック・ノリスは喧嘩のとき、どんな男でもやっつけられる。チャック・ノリスが縛られ目隠しされていない限り。	チャック・ノリスは喧嘩のとき、どんな男でもやっつけられる。どんな男が縛られ目隠しされていない限り。
審判はビックをラニングバックのように扱うとわたしは思う。彼には独特のプレイスタイルがあるから。	審判はビックをラニングバックのように扱うとわたしは思う。ビックには独特のプレイスタイルがあるから。	審判はビックをラニングバックのように扱うとわたしは思う。審判には独特のプレイスタイルがあるから。
審判はビックをラニングバックのように扱うとわたし思う。彼はゲームを理解していないから。	審判はビックをラニングバックのように扱うとわたし思う。審判はゲームを理解していないから。	審判はビックをラニングバックのように扱うとわたし思う。ビックはゲームを理解していないから。
ネズミは賢いフクロウの助言を求めた。そして彼女は直ぐに自分の失敗に気付いた。	ネズミは賢いフクロウの助言を求めた。そしてネズミは直ぐに自分の失敗に気付いた。	ネズミは賢いフクロウの助言を求めた。そして賢いフクロウは直ぐに自分の失敗に気付いた。
ネズミは賢いフクロウの助言を求めた。そして彼女は直ぐに無料の食事にありついた。	ネズミは賢いフクロウの助言を求めた。そして賢いフクロウは直ぐに無料の食事にありついた。	ネズミは賢いフクロウの助言を求めた。そしてネズミは直ぐに無料の食事にありついた。
誘拐犯はトレント・レズナーを返さないだろう。彼が私的な公演をやってもらうまでは。	誘拐犯はトレント・レズナーを返さないだろう。誘拐犯が私的な公演をやってもらうまでは。	誘拐犯はトレント・レズナーを返さないだろう。トレント・レズナーが私的な公演をやってもらうまでは。
誘拐犯はトレント・レズナーを返さないだろう。彼が私的な公演をやると同意するまでは。	誘拐犯はトレント・レズナーを返さないだろう。トレント・レズナーが私的な公演をやると同意するまでは。	誘拐犯はトレント・レズナーを返さないだろう。誘拐犯が私的な公演をやると同意するまでは。
警察はハイカー等を拘留した。彼らは不法侵入していたからだ。	警察はハイカー等を拘留した。ハイカー等は不法侵入していたからだ。	警察はハイカー等を拘留した。警察は不法侵入していたからだ。
警察はハイカー等を拘留した。彼らは先入観を抱いていたからだ。	警察はハイカー等を拘留した。警察は先入観を抱いていたからだ。	警察はハイカー等を拘留した。ハイカー等は先入観を抱いていたからだ。
セーラは部屋にいる象を無視しようとした。しかし彼女は違和感に耐えられなかった。	セーラは部屋にいる象を無視しようとした。しかしセーラは違和感に耐えられなかった。	セーラは部屋にいる象を無視しようとした。しかし部屋にいる象は違和感に耐えられなかった。
セーラは部屋にいる象を無視しようとした。しかし彼女は甲高く鳴くのを止めなかった。	セーラは部屋にいる象を無視しようとした。しかし部屋にいる象は甲高く鳴くのを止めなかった。	セーラは部屋にいる象を無視しようとした。しかしセーラは甲高く鳴くのを止めなかった。
マークはもう少しでスライミー・ジャックと取引するところだった。しかし男が横領で逮捕され時、手を引いた。	マークはもう少しでスライミー・ジャックと取引するところだった。しかしスライミー・ジャックが横領で逮捕され時、手を引いた。	マークはもう少しでスライミー・ジャックと取引するところだった。しかしマークが横領で逮捕され時、手を引いた。
マークはもう少しでスライミー・ジャックと取引するところだった。しかし男は自分の正直者という評判を考えたとき手を引いた。	マークはもう少しでスライミー・ジャックと取引するところだった。しかしマークは自分の正直者という評判を考えたとき手を引いた。	マークはもう少しでスライミー・ジャックと取引するところだった。しかしスライミー・ジャックは自分の正直者という評判を考えたとき手を引いた。
ロボットはリス人間と停戦交渉をしようとした。しかし彼らがマイクロチップ再処理施設を破壊した時、交渉は決裂した。	ロボットはリス人間と停戦交渉をしようとした。しかしリス人間がマイクロチップ再処理施設を破壊した時、交渉は決裂した。	ロボットはリス人間と停戦交渉をしようとした。しかしロボットがマイクロチップ再処理施設を破壊した時、交渉は決裂した。
ロボットはリス人間と停戦交渉をしようとした。しかし彼らがどんぐり再処理施設を破壊した時、交渉は決裂した。	ロボットはリス人間と停戦交渉をしようとした。しかしロボットがどんぐり再処理施設を破壊した時、交渉は決裂した。	ロボットはリス人間と停戦交渉をしようとした。しかしリス人間がどんぐり再処理施設を破壊した時、交渉は決裂した。
イエスはトマスの前に現れた。彼が復活したことを教えるために。	イエスはトマスの前に現れた。イエスが復活したことを教えるために。	イエスはトマスの前に現れた。トマスが復活したことを教えるために。
イエスはトマスの前に現れた。彼が無用の疑念を抱いていることを教えるために。	イエスはトマスの前に現れた。トマスが無用の疑念を抱いていることを教えるために。	イエスはトマスの前に現れた。イエスが無用の疑念を抱いていることを教えるために。
従業員は箱を潰した。彼らは仕事をしていたのだ。	従業員は箱を潰した。従業員は仕事をしていたのだ。	従業員は箱を潰した。箱は仕事をしていたのだ。
従業員は箱を潰した。それらは空だったからだ。	従業員は箱を潰した。箱は空だったからだ。	従業員は箱を潰した。従業員は空だったからだ。
ワインは樽を破裂させた。それは小さすぎたのだ。	ワインは樽を破裂させた。樽は小さすぎたのだ。	ワインは樽を破裂させた。ワインは小さすぎたのだ。
ワインは樽を破裂させた。それは発砲しすぎたのだ。	ワインは樽を破裂させた。ワインは発砲しすぎたのだ。	ワインは樽を破裂させた。樽は発砲しすぎたのだ。
トムはジェームズにコートをあげた。彼が寒がったからだ。	トムはジェームズにコートをあげた。ジェームズが寒がったからだ。	トムはジェームズにコートをあげた。トムが寒がったからだ。
トムはジェームズにコートあげた。彼は親切だったからだ。	トムはジェームズにコートあげた。トムは親切だったからだ。	トムはジェームズにコートあげた。ジェームズは親切だったからだ。
ベテランは新人を負かした。彼らのほうが経験を積んでいたからだ。	ベテランは新人を負かした。ベテランのほうが経験を積んでいたからだ。	ベテランは新人を負かした。新人のほうが経験を積んでいたからだ。
ベテランは新人を負かした。彼らのほうが経験が浅かったからだ。	ベテランは新人を負かした。新人のほうが経験が浅かったからだ。	ベテランは新人を負かした。ベテランのほうが経験が浅かったからだ。
船乗りたちはボートから転落した。それらは転覆しつつあったのだ。	船乗りたちはボートから転落した。ボートは転覆しつつあったのだ。	船乗りたちはボートから転落した。船乗りたちは転覆しつつあったのだ。
船乗りたちはボートから転落した。彼らは酔っていたのだ。	船乗りたちはボートから転落した。船乗りたちは酔っていたのだ。	船乗りたちはボートから転落した。ボートは酔っていたのだ。
子供たちはゲームをした。　彼らは退屈していたからだ。	子供たちはゲームをした。　子供たちは退屈していたからだ。	子供たちはゲームをした。　ゲームは退屈していたからだ。
子供たちはゲームをした。それらは面白かったからだ。	子供たちはゲームをした。ゲームは面白かったからだ。	子供たちはゲームをした。子供たちは面白かったからだ。
ジョンはデイブを首にした。彼は欠勤が多すぎた。	ジョンはデイブを首にした。デイブは欠勤が多すぎた。	ジョンはデイブを首にした。ジョンは欠勤が多すぎた。
ジョンはデイブを首にした。彼はあまりに多くの従業員を抱えていた。	ジョンはデイブを首にした。ジョンはあまりに多くの従業員を抱えていた。	ジョンはデイブを首にした。デイブはあまりに多くの従業員を抱えていた。
警察は暴徒を逮捕した。彼らは混乱を避けようとしていたからだ。	警察は暴徒を逮捕した。警察は混乱を避けようとしていたからだ。	警察は暴徒を逮捕した。暴徒は混乱を避けようとしていたからだ。
警察は暴徒を逮捕した。彼らは問題を起こしていたからだ。	警察は暴徒を逮捕した。暴徒は問題を起こしていたからだ。	警察は暴徒を逮捕した。警察は問題を起こしていたからだ。
学生は本を読んだ。彼らは勉強していたのだ。	学生は本を読んだ。学生は勉強していたのだ。	学生は本を読んだ。本は勉強していたのだ。
学生は本を読んだ。それらは面白かったからだ。	学生は本を読んだ。本は面白かったからだ。	学生は本を読んだ。学生は面白かったからだ。
木こりは木を切る。彼らは金を払ってもうために。	木こりは木を切る。木こりは金を払ってもうために。	木こりは木を切る。木は金を払ってもうために。
木こりは木を切る。彼らを売ることができるように。	木こりは木を切る。木を売ることができるように。	木こりは木を切る。木こりを売ることができるように。
百人隊長はドクター・フーに自分の耳を貸した。彼は忠誠を誓っていたからだ。	百人隊長はドクター・フーに自分の耳を貸した。百人隊長は忠誠を誓っていたからだ。	百人隊長はドクター・フーに自分の耳を貸した。ドクター・フーは忠誠を誓っていたからだ。
百人隊長はドクター・フーに自分の耳を貸した。彼は百人隊長の命を救ったからだ。	百人隊長はドクター・フーに自分の耳を貸した。ドクター・フーは百人隊長の命を救ったからだ。	百人隊長はドクター・フーに自分の耳を貸した。百人隊長は百人隊長の命を救ったからだ。
トムはジョンが好きだ。彼の名前がかっこいいからだ。	トムはジョンが好きだ。ジョンの名前がかっこいいからだ。	トムはジョンが好きだ。トムの名前がかっこいいからだ。
トムはジョンが好きだ。彼は格好いい名前の人が好きだからだ。	トムはジョンが好きだ。トムは格好いい名前の人が好きだからだ。	トムはジョンが好きだ。ジョンは格好いい名前の人が好きだからだ。
聴取者はその歌手について文句を言わなかった。彼はオートチューンされていたからだ。	聴取者はその歌手について文句を言わなかった。その歌手はオートチューンされていたからだ。	聴取者はその歌手について文句を言わなかった。聴取者はオートチューンされていたからだ。
聴取者はその歌手について文句を言わなかった。彼は音痴だったからだ。	聴取者はその歌手について文句を言わなかった。聴取者は音痴だったからだ。	聴取者はその歌手について文句を言わなかった。その歌手は音痴だったからだ。
ミュージシャンは２つの会場で演奏した。それらのどちらもあまり儲からなかったからだ。	ミュージシャンは２つの会場で演奏した。２つの会場のどちらもあまり儲からなかったからだ。	ミュージシャンは２つの会場で演奏した。ミュージシャンのどちらもあまり儲からなかったからだ。
ミュージシャンは２つの会場で演奏した。彼らのいずれもあまり稼げなかったからだ。	ミュージシャンは２つの会場で演奏した。ミュージシャンのいずれもあまり稼げなかったからだ。	ミュージシャンは２つの会場で演奏した。２つの会場のいずれもあまり稼げなかったからだ。
製品見本市でオフィス３６５が紹介された。それはには多くの参加者があった。	製品見本市でオフィス３６５が紹介された。製品見本市はには多くの参加者があった。	製品見本市でオフィス３６５が紹介された。オフィス３６５はには多くの参加者があった。
製品見本市でオフィス３６５が紹介された。それはゲームをみ見せびらかした。	製品見本市でオフィス３６５が紹介された。オフィス３６５はゲームをみ見せびらかした。	製品見本市でオフィス３６５が紹介された。製品見本市はゲームをみ見せびらかした。
スティーブン・キングはスピルバーグに電話した。彼は金を借りようとしたのだ。	スティーブン・キングはスピルバーグに電話した。スティーブン・キングは金を借りようとしたのだ。	スティーブン・キングはスピルバーグに電話した。スピルバーグは金を借りようとしたのだ。
スティーブン・キングはスピルバーグに電話した。彼が折りかえし電話をくれるようにたのんだのだ。	スティーブン・キングはスピルバーグに電話した。スピルバーグが折りかえし電話をくれるようにたのんだのだ。	スティーブン・キングはスピルバーグに電話した。スティーブン・キングが折りかえし電話をくれるようにたのんだのだ。
ライオンはガゼルが好きだ。彼らはそれらを食べるのだ。	ライオンはガゼルが好きだ。ライオンはそれらを食べるのだ。	ライオンはガゼルが好きだ。ガゼルはそれらを食べるのだ。
ライオンはガゼルが好きだ。彼らは旨いからだ。	ライオンはガゼルが好きだ。ガゼルは旨いからだ。	ライオンはガゼルが好きだ。ライオンは旨いからだ。
スティーブ・ボールマーはビル・ゲイツから、マイクロソフトのCEO職を引き継いだ。彼が引退したからだ。	スティーブ・ボールマーはビル・ゲイツから、マイクロソフトのCEO職を引き継いだ。ビル・ゲイツが引退したからだ。	スティーブ・ボールマーはビル・ゲイツから、マイクロソフトのCEO職を引き継いだ。スティーブ・ボールマーが引退したからだ。
スティーブ・ボールマーはビル・ゲイツから、マイクロソフトのCEO職を引き継いだ。彼はユニコーンだったからだ。	スティーブ・ボールマーはビル・ゲイツから、マイクロソフトのCEO職を引き継いだ。スティーブ・ボールマーはユニコーンだったからだ。	スティーブ・ボールマーはビル・ゲイツから、マイクロソフトのCEO職を引き継いだ。ビル・ゲイツはユニコーンだったからだ。
ウィンドウズはリナックスより劣っている。それにはウイルスがたくさんある。	ウィンドウズはリナックスより劣っている。ウィンドウズにはウイルスがたくさんある。	ウィンドウズはリナックスより劣っている。リナックスにはウイルスがたくさんある。
ウィンドウズはリナックスより劣っている。それはオープンソースだからだ。	ウィンドウズはリナックスより劣っている。リナックスはオープンソースだからだ。	ウィンドウズはリナックスより劣っている。ウィンドウズはオープンソースだからだ。
少年は彼の友達に鉛筆を貸した。教師が彼に使わせるよう言ったからだ。	少年は彼の友達に鉛筆を貸した。教師が少年使わせるよう言ったからだ。	少年は彼の友達に鉛筆を貸した。教師が彼の友達使わせるよう言ったからだ。
少年は彼の友達に鉛筆を貸した。教師が彼に書くよう言ったからだ。	少年は彼の友達に鉛筆を貸した。教師が彼の友達書くよう言ったからだ。	少年は彼の友達に鉛筆を貸した。教師が少年書くよう言ったからだ。
神はアダムを永遠のものとして創造した。しかし彼は自分の創造物を制御することが出来なかった。	神はアダムを永遠のものとして創造した。しかし神は自分の創造物を制御することが出来なかった。	神はアダムを永遠のものとして創造した。しかしアダムは自分の創造物を制御することが出来なかった。
神はアダムを永遠のものとして創造した。しかし彼は自分の衝動を制御することが出来なかった。	神はアダムを永遠のものとして創造した。しかしアダムは自分の衝動を制御することが出来なかった。	神はアダムを永遠のものとして創造した。しかし神は自分の衝動を制御することが出来なかった。
少年は彼の友達を笑った。彼は冗談を聞いたからだ。	少年は彼の友達を笑った。少年は冗談を聞いたからだ。	少年は彼の友達を笑った。彼の友達は冗談を聞いたからだ。
少年は彼の友達を笑った。彼が冗談を言ったからだ。	少年は彼の友達を笑った。彼の友達が冗談を言ったからだ。	少年は彼の友達を笑った。少年が冗談を言ったからだ。
警官は抗議者に催涙ガスをかけた。彼らは命令に盲従したのだ。	警官は抗議者に催涙ガスをかけた。警官は命令に盲従したのだ。	警官は抗議者に催涙ガスをかけた。抗議者は命令に盲従したのだ。
警官は抗議者に催涙ガスをかけた。彼らが命令に盲従しなかったからだ。	警官は抗議者に催涙ガスをかけた。抗議者が命令に盲従しなかったからだ。	警官は抗議者に催涙ガスをかけた。警官が命令に盲従しなかったからだ。
大石は川に落ちた。しかしそれは転がり続けた。	大石は川に落ちた。しかし大石は転がり続けた。	大石は川に落ちた。しかし川は転がり続けた。
大石は川に落ちた。しかしそれは流れ続けた。	大石は川に落ちた。しかし川は流れ続けた。	大石は川に落ちた。しかし大石は流れ続けた。
銃の持ち主は強盗に向かって発砲した。彼が商品を盗んだからだ。	銃の持ち主は強盗に向かって発砲した。強盗が商品を盗んだからだ。	銃の持ち主は強盗に向かって発砲した。銃の持ち主が商品を盗んだからだ。
銃の持ち主は強盗に向かって発砲した。彼は人影を見たからだ。	銃の持ち主は強盗に向かって発砲した。銃の持ち主は人影を見たからだ。	銃の持ち主は強盗に向かって発砲した。強盗は人影を見たからだ。
ジェリカは警備員を見た。彼女が忍び足で通り過ぎたときだ。	ジェリカは警備員を見た。ジェリカが忍び足で通り過ぎたときだ。	ジェリカは警備員を見た。警備員が忍び足で通り過ぎたときだ。
ジェリカは警備員を見た。彼女が堂々と通り過ぎたときだ。	ジェリカは警備員を見た。警備員が堂々と通り過ぎたときだ。	ジェリカは警備員を見た。ジェリカが堂々と通り過ぎたときだ。
ホームチームはジャイアンツに負けた。彼らのほうが良い選手だったからだ。	ホームチームはジャイアンツに負けた。ジャイアンツのほうが良い選手だったからだ。	ホームチームはジャイアンツに負けた。ホームチームのほうが良い選手だったからだ。
ホームチームはジャイアンツに負けた。彼らはパスを通すことができなかったからだ。	ホームチームはジャイアンツに負けた。ホームチームはパスを通すことができなかったからだ。	ホームチームはジャイアンツに負けた。ジャイアンツはパスを通すことができなかったからだ。
私の両親は隣人にシックス・フラッグズのチケットをあげた。彼らがそれらを必要としていたからだ。	私の両親は隣人にシックス・フラッグズのチケットをあげた。隣人がそれらを必要としていたからだ。	私の両親は隣人にシックス・フラッグズのチケットをあげた。私の両親がそれらを必要としていたからだ。
私の両親は隣人にシックス・フラッグズのチケットをあげた。彼らは余分に持っていたからだ。	私の両親は隣人にシックス・フラッグズのチケットをあげた。私の両親は余分に持っていたからだ。	私の両親は隣人にシックス・フラッグズのチケットをあげた。隣人は余分に持っていたからだ。
警察は応援を求めるために本部に電話した。すると彼らは拒絶した。	警察は応援を求めるために本部に電話した。すると本部は拒絶した。	警察は応援を求めるために本部に電話した。すると警察は拒絶した。
警察は応援を求めるために本部に電話した。そして彼らは引き続き犯人と闘った。	警察は応援を求めるために本部に電話した。そして警察は引き続き犯人と闘った。	警察は応援を求めるために本部に電話した。そして本部は引き続き犯人と闘った。
顧問は大統領に言った。彼は宣戦布告するべきだと。	顧問は大統領に言った。大統領は宣戦布告するべきだと。	顧問は大統領に言った。顧問は宣戦布告するべきだと。
顧問は大統領に言った。彼は辞任すると。	顧問は大統領に言った。顧問は辞任すると。	顧問は大統領に言った。大統領は辞任すると。
象は魚を踏みつけた。そしてそれは死んだ。	象は魚を踏みつけた。そして魚は死んだ。	象は魚を踏みつけた。そして象は死んだ。
象は魚を踏みつけた。そしてそれはそのまま歩き続けた。	象は魚を踏みつけた。そして象はそのまま歩き続けた。	象は魚を踏みつけた。そして魚はそのまま歩き続けた。
子供たちは近所の人たちに卵を投げつけた。彼らがお菓子を持っていなかったからだ。	子供たちは近所の人たちに卵を投げつけた。近所の人たちがお菓子を持っていなかったからだ。	子供たちは近所の人たちに卵を投げつけた。子供たちがお菓子を持っていなかったからだ。
子供たちは近所の人たちに卵を投げつけた。彼らは恥知らずだったからだ。	子供たちは近所の人たちに卵を投げつけた。子供たちは恥知らずだったからだ。	子供たちは近所の人たちに卵を投げつけた。近所の人たちは恥知らずだったからだ。
モデルはマネージャーに向かって顔をしかめた。彼女が電話かけ忘れたからだ。	モデルはマネージャーに向かって顔をしかめた。マネージャーが電話かけ忘れたからだ。	モデルはマネージャーに向かって顔をしかめた。モデルが電話かけ忘れたからだ。
モデルはマネージャーに向かって顔をしかめた。彼女は悲しかったのだ。	モデルはマネージャーに向かって顔をしかめた。モデルは悲しかったのだ。	モデルはマネージャーに向かって顔をしかめた。マネージャーは悲しかったのだ。
ウィリアムはライアンに合唱練習を義務づけた。彼が自分の歌唱力と苦闘しているからだ。	ウィリアムはライアンに合唱練習を義務づけた。ライアンが自分の歌唱力と苦闘しているからだ。	ウィリアムはライアンに合唱練習を義務づけた。ウィリアムが自分の歌唱力と苦闘しているからだ。
ウィリアムはライアンに合唱練習を義務づけた。彼が意地悪な教師だからだ。	ウィリアムはライアンに合唱練習を義務づけた。ウィリアムが意地悪な教師だからだ。	ウィリアムはライアンに合唱練習を義務づけた。ライアンが意地悪な教師だからだ。
カウンセラーは学生にアドバイスした。彼は人生の道筋を誤っていたからだ。	カウンセラーは学生にアドバイスした。学生は人生の道筋を誤っていたからだ。	カウンセラーは学生にアドバイスした。カウンセラーは人生の道筋を誤っていたからだ。
カウンセラーは学生にアドバイスした。彼は彼を助ける義務を感じたからだ。	カウンセラーは学生にアドバイスした。カウンセラーは彼を助ける義務を感じたからだ。	カウンセラーは学生にアドバイスした。学生は彼を助ける義務を感じたからだ。
ライアンはトムと争い、大統領職を勝ち取った。彼は自分の方が良い候補だったと感じている。	ライアンはトムと争い、大統領職を勝ち取った。ライアンは自分の方が良い候補だったと感じている。	ライアンはトムと争い、大統領職を勝ち取った。トムは自分の方が良い候補だったと感じている。
ライアンはトムと争い、大統領職を勝ち取った。彼は適任ではなかったからだ。	ライアンはトムと争い、大統領職を勝ち取った。トムは適任ではなかったからだ。	ライアンはトムと争い、大統領職を勝ち取った。ライアンは適任ではなかったからだ。
ジャックはダンを追い抜いた。彼の車の方がずっと速いからだ。	ジャックはダンを追い抜いた。ジャック車の方がずっと速いからだ。	ジャックはダンを追い抜いた。ダン車の方がずっと速いからだ。
ジャックはダンを追い抜いた。彼の車は古いからだ。	ジャックはダンを追い抜いた。ダン車は古いからだ。	ジャックはダンを追い抜いた。ジャック車は古いからだ。
母親は彼女の娘に難しい歌を歌うように進めた。彼女の意欲がかきたてられるようにだ。	母親は彼女の娘に難しい歌を歌うように進めた。彼女の娘の意欲がかきたてられるようにだ。	母親は彼女の娘に難しい歌を歌うように進めた。母親の意欲がかきたてられるようにだ。
母親は彼女の娘に難しい歌を歌うように進めた。彼女が娘の歌の上達を確かめられるようにするためだ。	母親は彼女の娘に難しい歌を歌うように進めた。母親が娘の歌の上達を確かめられるようにするためだ。	母親は彼女の娘に難しい歌を歌うように進めた。彼女の娘が娘の歌の上達を確かめられるようにするためだ。
ジョンは彼の息子を訪ねた。彼が彼と一緒に時間を過ごせるようにだ。	ジョンは彼の息子を訪ねた。ジョンが彼と一緒に時間を過ごせるようにだ。	ジョンは彼の息子を訪ねた。彼の息子が彼と一緒に時間を過ごせるようにだ。
ジョンは彼の息子を訪ねた。彼が愛されていると感じるようにだ。	ジョンは彼の息子を訪ねた。彼の息子が愛されていると感じるようにだ。	ジョンは彼の息子を訪ねた。ジョンが愛されていると感じるようにだ。
パイロットたちは通行人を救出した。彼らには市民としての義務があるからだ。	パイロットたちは通行人を救出した。パイロットたちには市民としての義務があるからだ。	パイロットたちは通行人を救出した。通行人には市民としての義務があるからだ。
パイロットたちは通行人を救出した。彼らが彼らにそうしてほしいと懇願したからだ。	パイロットたちは通行人を救出した。通行人が彼らにそうしてほしいと懇願したからだ。	パイロットたちは通行人を救出した。パイロットたちが彼らにそうしてほしいと懇願したからだ。
カートはジョンに歌った。彼はリード・ボーカルに成りたかったのだ。	カートはジョンに歌った。カートはリード・ボーカルに成りたかったのだ。	カートはジョンに歌った。ジョンはリード・ボーカルに成りたかったのだ。
カートはジョンに歌った。彼が審査員だったからだ。	カートはジョンに歌った。ジョンが審査員だったからだ。	カートはジョンに歌った。カートが審査員だったからだ。
ステイシーはばか騒ぎのことで母親に嘘をついた。しかし彼女は気づいた。	ステイシーはばか騒ぎのことで母親に嘘をついた。しかし母親は気づいた。	ステイシーはばか騒ぎのことで母親に嘘をついた。しかしステイシーは気づいた。
ステイシーはばか騒ぎのことで母親に嘘をついた。しかし彼女は見つかってしまうのではないかと恐れた。	ステイシーはばか騒ぎのことで母親に嘘をついた。しかしステイシーは見つかってしまうのではないかと恐れた。	ステイシーはばか騒ぎのことで母親に嘘をついた。しかし母親は見つかってしまうのではないかと恐れた。
ジャネット・ジャクソンはラトヤ・ジャクソンより人気がある。彼女のほうが上手いからだ。	ジャネット・ジャクソンはラトヤ・ジャクソンより人気がある。ジャネット・ジャクソンのほうが上手いからだ。	ジャネット・ジャクソンはラトヤ・ジャクソンより人気がある。ラトヤ・ジャクソンのほうが上手いからだ。
